"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000148483",147.239117862342,-1.01672612791598,0.364276624005976,-2.79108254802344,0.00525320727780661,0.176138765207791,"TMEM236"
"ENSG00000275331",58.4639902962577,-1.36531109326996,0.489823754686565,-2.78735173663355,0.00531407648790447,0.177077363550549,"ABCC6"
"ENSG00000078814",119.393517933939,-1.21143780930112,0.434724249466453,-2.78668100707046,0.00532508693618686,0.177077363550549,"MYH7B"
"ENSG00000254507",38.772544683992,-2.34272569681076,0.842576409338442,-2.78043115241046,0.00542867694588589,0.17828133025033,"DEFB131E"
"ENSG00000277654",16.5213237495785,-2.94188004612453,1.06287626349976,-2.76784809968164,0.00564277490309061,0.18296672113439,"LOC440311"
"ENSG00000254852",180.923095536176,1.44090886727199,0.522728806639521,2.75651322247801,0.0058421250607447,0.18502140776476,"NPIPA2"
"ENSG00000102962",119.904866671106,-1.01586201469403,0.368873048718347,-2.75396106661535,0.00588787718819014,0.185220220809539,"CCL22"
"ENSG00000170579",34.2398225352065,-2.33192813430708,0.848084778393715,-2.74964035874313,0.00596607054601921,0.186697401327522,"DLGAP1"
"ENSG00000282367",112.884987568403,1.94714453601226,0.709534514446862,2.7442562643062,0.00606481729208176,0.189127371937944,"PTDSS2"
"ENSG00000158220",50.977422404162,-1.48083964175734,0.540599052070135,-2.73925682275377,0.00615782500815769,0.191362149430287,"ESYT3"
"ENSG00000102287",22.9952532966756,-3.08237337850473,1.13027917872267,-2.72709029461919,0.00638955516247962,0.195470875383683,"GABRE"
"ENSG00000242220",100.312806667187,-1.32321376901563,0.48529805397671,-2.72660019584405,0.00639905213597803,0.195470875383683,"TCP10L"
"ENSG00000227638",32.0317962287548,-2.13816917760142,0.78508991296281,-2.72347044879522,0.00645999946187383,0.19666256426292,NA
"ENSG00000163577",171.987496341247,1.05840954727094,0.389128408656914,2.71994931165284,0.00652919240571099,0.198096360451445,"EIF5A2"
"ENSG00000234487",253.43096770854,-7.84233758722091,2.88894409671079,-2.71460344149608,0.00663551740174239,0.200193168625376,"HLA-F"
"ENSG00000284820",95.2417978755813,-1.05984287797196,0.390460689162986,-2.71433951582654,0.00664080676816778,0.200193168625376,NA
"ENSG00000236670",11.33515629307,-3.51138100539366,1.29568542103326,-2.7100567378411,0.00672716993761892,0.200776612909852,"KRT18P5"
"ENSG00000181418",101.88055186359,1.31695524316552,0.48689455278911,2.70480586735161,0.00683443177673995,0.202224746186013,"DDN"
"ENSG00000180071",280.782323488786,-1.04046218304626,0.385017981563594,-2.70237296144154,0.00688464879669879,0.202995862191989,"ANKRD18A"
"ENSG00000187172",72.6898740918179,-1.30388741006488,0.483282128381303,-2.69798391765923,0.00697608107397728,0.203454599189293,NA
"ENSG00000118729",10.8038291437226,-6.90403857447578,2.56206078239259,-2.69472083641529,0.0070447626204912,0.203454599189293,"CASQ2"
"ENSG00000135253",37.5562687313003,-2.06623172536557,0.766777477255313,-2.69469537989257,0.00704530080961961,0.203454599189293,"KCP"
"ENSG00000233327",136.487122853048,-1.03691493733443,0.385494620398644,-2.6898298509643,0.00714884583285264,0.204451898990292,"USP32P2"
"ENSG00000132677",71.4619584399924,-1.49329367130817,0.556059941853927,-2.68549046408463,0.00724234413845807,0.206081904959305,"RHBG"
"ENSG00000276592",72.1510897048582,-1.81988771335611,0.679915967154395,-2.67663623340507,0.00743653260949484,0.208025688332062,"PHB1P6"
"ENSG00000171385",47.9649186656717,1.74211996676406,0.651141017798987,2.67548798054966,0.00746205488437545,0.208414495532299,"KCND3"
"ENSG00000084636",179.901614466229,-1.05000645193207,0.392956533356951,-2.67206767873808,0.00753854425450731,0.209571530275303,"COL16A1"
"ENSG00000226498",8.32504932820165,-4.99087100179079,1.86818313255247,-2.67151057882202,0.00755106923085749,0.209594771483755,"RPSAP21"
"ENSG00000185518",45.2777134548542,-1.68947888941213,0.633245702035509,-2.66796740030206,0.00763116621535515,0.210466008616022,"SV2B"
"ENSG00000018607",91.2802851038065,-1.2023536368648,0.450859769667372,-2.66680178129855,0.00765768216099494,0.210598004338651,NA
"ENSG00000167964",29.7379937185875,-1.81728287945475,0.68186893416729,-2.66514983803163,0.00769540265085306,0.210736374702806,"RAB26"
"ENSG00000224952",361.058380908957,-1.11614476229311,0.420810769129479,-2.65236739212272,0.00799295178637917,0.21617137025877,"PBX2"
"ENSG00000168959",11.7343924370043,3.34286062303532,1.26060606692567,2.65178846171017,0.00800666873715809,0.216216230611418,"GRM5"
"ENSG00000235233",54.8916276202332,-1.7362897435606,0.655789689412757,-2.64763196431984,0.00810577165657407,0.217707329612583,"MICA"
"ENSG00000120280",16.207848250007,-3.64024993081769,1.38294224307405,-2.6322501529247,0.00848213842233821,0.221387516813605,"TASL"
"ENSG00000130997",109.12389594727,1.62045977034521,0.616836987066752,2.627047022668,0.00861294309575934,0.223824177753711,"POLN"
"ENSG00000229088",24.8917695153079,-2.23476348279535,0.852087112214685,-2.62269367856874,0.00872376680200949,0.225073183491845,NA
"ENSG00000281742",140.018812987057,1.16907544346405,0.446682784093298,2.61723864249013,0.00886443432166981,0.226421897182139,"MCCC2"
"ENSG00000184254",311.931938054677,-1.02644378965983,0.395030447116201,-2.59839158513748,0.00936616161692191,0.232610310184247,"ALDH1A3"
"ENSG00000115361",132.346458543393,-1.01415240134114,0.391264320670046,-2.59198794207554,0.00954231160330324,0.235679324185717,"ACADL"
"ENSG00000101280",30.1977206773994,-1.85563656078808,0.716956154927032,-2.58821484136214,0.00964747884243326,0.236971154963933,"ANGPT4"
